Marca,Descrição,Tipo,Preço
Tio Lucas,Arroz tio lucas 1kg,Arroz Branco,835
Patriota,Arroz tailandia patriota 1kg,Arroz Branco,840
Alimo,Arroz alimo 1kg,Arroz Branco,990
Kingstar,Arroz paraboilizado thai kingstar 1kg,Arroz Branco,1.235
Camil,Arroz parabolizado camil 1kg,Arroz Branco,1.435
Al Fina,Arroz basmati al fina 1kg classico,Arroz Basmati,1.425
Zeeba,Arroz basmati zeeba stream 1kg,Arroz Basmati,2.555
Sona,Arroz basmati sona gold 1kg,Arroz Basmati,2.970
Sona,Arroz basmati sona natural bidon 1kg,Arroz Basmati,3.160
Sona,Arroz basmati sona natural bidon 2kg,Arroz Basmati,6.315
Al Fina,Arroz basmati al fina 5kg classico,Arroz Basmati,7.850
Sona,Arroz basmati sona saco 5kg sella,Arroz Basmati,7.960
Zeeba,Arroz basmati zeeba stream 5kg,Arroz Basmati,11.140
Sona,Arroz basmati sona natural saco 5kg pusa gold,Arroz Basmati,14.840
Sona,Arroz basmati sona 5kg jar silver,Arroz Basmati,15.040
Sona,Arroz basmati sona saco 5kg pusa silver,Arroz Basmati,15.255
Sona,Arroz basmati sona 5kg pusa platinum,Arroz Basmati,15.325
Tio Lucas,Farinha milho amarelo tio lucas 1kg,Farinha Milho,495
Uami,Farinha trigo uami 1kg,Farinha Trigo,540
Tio Lucas,Farinha trigo tio lucas 1kg,Farinha Trigo,710
Nacional,Farinha extra fina nacional 1kg,Farinha Trigo,1.585
Gracia,Massa esparguete gloria 400gr,Esparguete,285
Alimo,Massa esparguete alimo 400gr,Esparguete,325
Tio Lucas,Massa esparguete tio lucas 400gr,Esparguete,325
Gracia,Massa esparguete gracia 400gr,Esparguete,345
Ros Bien,Massa esparguete ros bien 400gr,Esparguete,345
Limor,Massa espaguete limor 400gm,Esparguete,345
Primavera,Massa esparguete primavera 400gr,Esparguete,425
Donna Maria,Massa alimentar donna maria 450gr,Esparguete,890
Milaneza,Massa esparguete milaneza 500gr,Esparguete,1.155
Milaneza,Massa esparguete linguine milaneza 500gr,Esparguete,1.165
Nacional,Massa linguine c/vegetais nacional 500gr,Esparguete,1.185
Milaneza,Massa esparguete fettuccine milaneza 500gr,Esparguete,1.215
Tio Lucas,Massa cotovelos tio lucas 400gr,Cotovelos/Macarrão,265
Tio Lucas,Massa macarrao tio lucas 400gr,Cotovelos/Macarrão,295
Gracia,Massa macarrao gracia 400gr,Cotovelos/Macarrão,295
Gracia,Massa cotovelos chifferi adria 400gr,Cotovelos/Macarrão,325
Alimo,Massa elbow alimo 400gr,Cotovelos/Macarrão,595
Nacional,Massa cotovelos grossos gobbetti nacional 500gr,Cotovelos/Macarrão,1.140
Donna Maria,Massa macarrao donna maria 450gr penne rigatti,Cotovelos/Macarrão,1.585
Donna Maria,Massa macarrao donna maria 450gr concha,Cotovelos/Macarrão,1.585
Donna Maria,Massa macarrao donna maria 450gr elicoidali,Cotovelos/Macarrão,1.730
Tio Lucas,Massa espirais tio lucas 400gr,Espirais/Outras,295
Gracia,Massa espirais fusilli adria 400gr,Espirais/Outras,295
Alimo,Massa spirali alimo 400gr,Espirais/Outras,595
Nacional,Massa espirais nacional 500gr,Espirais/Outras,1.185
Milaneza,Massa talharim tagliatelle milaneza 500gr,Espirais/Outras,1.485
Donna Maria,Massa macarrao donna maria 450gr fusilli,Espirais/Outras,1.680
Alimo,Açucar branco alimo 1kg,Açúcar branco,990
Sona,Açucar branco sona 1kg,Açúcar branco,990
Alimo,Açucar branco alimo 5kg,Açúcar branco,5.940
Umaior,Açucar mascavado umaior 500gr,Açúcar mascavado,1.680
Umaior,Açucar mascavado umaior 1kg,Açúcar mascavado,3.365
Food Love,Doce cereja food love 260gr,Doce/goiabada,1.485
Food Love,Doce bagas mistas food love 260gr,Doce/goiabada,1.485
*,Doce de mucua 250ml,Doce/goiabada,1.575
Ideia Doce,Doce loengos ideia doce 250gr,Doce/goiabada,1.615
Perdiz,Marmelada extra perdiz 450gr,Doce/goiabada,1.980
Frami,Doce frami frasco 330gr frutos silvestres,Doce/goiabada,2.475
Frami,Marmelada frami 450gr,Doce/goiabada,2.970
St. Dalfour,Doce geleia st.dalfour 284gr morango,Doce/goiabada,3.215
Donna Bia,Mel 250g,Mel,1.780
Owiki-k,Mel nacional owiki-k frasco 125ml,Mel,1.980
Vitoria,Mel puro de angola vitoria 400gr,Mel,2.205
Coapa,Mel do moxico coapa 250gr,Mel,2.425
Al Fina,Oleo soja al fina 1l,Óleo Soja/Alimentar,1.185
Uami,Oleo alimentar uami 1l,Óleo Soja/Alimentar,1.585
Tio Lucas,Oleo soja tio lucas 1l,Óleo Soja/Alimentar,1.880
Primavera,Oleo vegetal primavera 1l,Óleo Soja/Alimentar,1.980
Alimo,Oleo soja alimo 1l,Óleo Soja/Alimentar,2.575
Alimo,Oleo girassol alimo 1lt,Óleo Soja/Alimentar,2.970
Alimo,Oleo soja alimo 5l,Óleo Soja/Alimentar,13.860
Alimo,Oleo palma alimo 250ml,Óleo Palma,840
Tio Lucas,Oleo palma kitandeira tio lucas 1l,Óleo Palma,1.585
Massima,Oleo de palma puro massima  1lt,Óleo Palma,2.575
