Data,Nome_produto,Descrição,Tipo,Preço
2023-08-12,Tio Lucas,Arroz tio lucas 1kg,Arroz Branco,835
2023-08-12,Patriota,Arroz tailandia patriota 1kg,Arroz Branco,840
2023-08-12,Alimo,Arroz alimo 1kg,Arroz Branco,990
2023-08-12,Kingstar,Arroz paraboilizado thai kingstar 1kg,Arroz Branco,1.235
2023-08-12,Camil,Arroz parabolizado camil 1kg,Arroz Branco,1.435
2023-08-12,Al Fina,Arroz basmati al fina 1kg classico,Arroz Basmati,1.425
2023-08-12,Zeeba,Arroz basmati zeeba stream 1kg,Arroz Basmati,2.555
2023-08-12,Sona,Arroz basmati sona gold 1kg,Arroz Basmati,2.970
2023-08-12,Sona,Arroz basmati sona natural bidon 1kg,Arroz Basmati,3.160
2023-08-12,Sona,Arroz basmati sona natural bidon 2kg,Arroz Basmati,6.315
2023-08-12,Al Fina,Arroz basmati al fina 5kg classico,Arroz Basmati,7.850
2023-08-12,Sona,Arroz basmati sona saco 5kg sella,Arroz Basmati,7.960
2023-08-12,Zeeba,Arroz basmati zeeba stream 5kg,Arroz Basmati,11.140
2023-08-12,Sona,Arroz basmati sona natural saco 5kg pusa gold,Arroz Basmati,14.840
2023-08-12,Sona,Arroz basmati sona 5kg jar silver,Arroz Basmati,15.040
2023-08-12,Sona,Arroz basmati sona saco 5kg pusa silver,Arroz Basmati,15.255
2023-08-12,Sona,Arroz basmati sona 5kg pusa platinum,Arroz Basmati,15.325
2023-08-12,Tio Lucas,Farinha milho amarelo tio lucas 1kg,Farinha Milho,495
2023-08-12,Uami,Farinha trigo uami 1kg,Farinha Trigo,540
2023-08-12,Tio Lucas,Farinha trigo tio lucas 1kg,Farinha Trigo,710
2023-08-12,Nacional,Farinha extra fina nacional 1kg,Farinha Trigo,1.585
2023-08-12,Gracia,Massa esparguete gloria 400gr,Esparguete,285
2023-08-12,Alimo,Massa esparguete alimo 400gr,Esparguete,325
2023-08-12,Tio Lucas,Massa esparguete tio lucas 400gr,Esparguete,325
2023-08-12,Gracia,Massa esparguete gracia 400gr,Esparguete,345
2023-08-12,Ros Bien,Massa esparguete ros bien 400gr,Esparguete,345
2023-08-12,Limor,Massa espaguete limor 400gm,Esparguete,345
2023-08-12,Primavera,Massa esparguete primavera 400gr,Esparguete,425
2023-08-12,Donna Maria,Massa alimentar donna maria 450gr,Esparguete,890
2023-08-12,Milaneza,Massa esparguete milaneza 500gr,Esparguete,1.155
2023-08-12,Milaneza,Massa esparguete linguine milaneza 500gr,Esparguete,1.165
2023-08-12,Nacional,Massa linguine c/vegetais nacional 500gr,Esparguete,1.185
2023-08-12,Milaneza,Massa esparguete fettuccine milaneza 500gr,Esparguete,1.215
2023-08-12,Tio Lucas,Massa cotovelos tio lucas 400gr,Cotovelos/Macarrão,265
2023-08-12,Tio Lucas,Massa macarrao tio lucas 400gr,Cotovelos/Macarrão,295
2023-08-12,Gracia,Massa cotovelos chifferi adria 400gr,Cotovelos/Macarrão,325
2023-08-12,Alimo,Massa elbow alimo 400gr,Cotovelos/Macarrão,595
2023-08-12,Nacional,Massa cotovelos grossos gobbetti nacional 500gr,Cotovelos/Macarrão,1.140
2023-08-12,Donna Maria,Massa macarrao donna maria 450gr penne rigatti,Cotovelos/Macarrão,1.585
2023-08-12,Donna Maria,Massa macarrao donna maria 450gr concha,Cotovelos/Macarrão,1.585
2023-08-12,Donna Maria,Massa macarrao donna maria 450gr elicoidali,Cotovelos/Macarrão,1.730
2023-08-12,Tio Lucas,Massa espirais tio lucas 400gr,Espirais/Outras,295
2023-08-12,Gracia,Massa espirais fusilli adria 400gr,Espirais/Outras,295
2023-08-12,Nacional,Massa espirais nacional 500gr,Espirais/Outras,1.185
2023-08-12,Milaneza,Massa talharim tagliatelle milaneza 500gr,Espirais/Outras,1.485
2023-08-12,Donna Maria,Massa macarrao donna maria 450gr fusilli,Espirais/Outras,1.680
2023-08-12,Biocom,Açucar branco biocom 1kg,Açúcar branco,775
2023-08-12,Alimo,Açucar branco alimo 1kg,Açúcar branco,990
2023-08-12,Alimo,Açucar branco alimo 5kg,Açúcar branco,5.940
2023-08-12,Umaior,Açucar mascavado umaior 500gr,Açúcar mascavado,1.680
2023-08-12,Umaior,Açucar mascavado umaior 1kg,Açúcar mascavado,3.365
2023-08-12,Food Love,Doce cereja food love 260gr,Doce/goiabada,1.485
2023-08-12,Food Love,Doce bagas mistas food love 260gr,Doce/goiabada,1.485
2023-08-12,*,Doce de mucua 250ml,Doce/goiabada,1.575
2023-08-12,Ideia Doce,Doce loengos ideia doce 250gr,Doce/goiabada,1.615
2023-08-12,Perdiz,Marmelada extra perdiz 450gr,Doce/goiabada,1.980
2023-08-12,Frami,Doce frami frasco 330gr frutos silvestres,Doce/goiabada,2.475
2023-08-12,Frami,Marmelada frami 450gr,Doce/goiabada,2.970
2023-08-12,Donna Bia,Mel 250g,Mel,1.780
